aname,bname
心力衰竭,中心静脉压测定（CVP）
心力衰竭,多普勒超声心动图
心力衰竭,动态心电图（Holter监测）
心力衰竭,肾小球滤过分数(GFF)
心力衰竭,肾小球滤过分数
心力衰竭,血心钠肽（ANP）
心力衰竭,浆膜腔积液蛋白
淋巴结结核,胸部CT检查
淋巴结结核,胸部平片
淋巴结结核,结核杆菌检查
淋巴结结核,结核杆菌血清学检查（anti-TB）
新生儿青紫,血常规
新生儿青紫,胸部平片
新生儿青紫,CT检查
新生儿青紫,尿常规
新生儿青紫,心电图
新生儿青紫,便常规
新生儿青紫,动脉血气分析
新生儿青紫,维生素K
新生儿青紫,维生素C
细菌感染,血常规
细菌感染,痰液细菌涂片检查
细菌感染,痰液细菌培养
细菌感染,皮肤涂片显微镜检查
细菌感染,粪便显微镜检查
细菌感染,真菌培养检查
细菌感染,生殖道分泌物培养
细菌感染,真菌的分离与鉴定
细菌感染,脑脊液培养+药敏试验
细菌感染,蛋白质、氨基酸分解产物试验
心包炎,心电图
心包炎,内科检查
心包炎,核磁共振成像(MRI)
心包炎,弗里德瑞希征
心包炎,磷酸肌酸激酶
心包炎,浆膜腔积液病原体
心包炎,M型超声心动图（ME）
心包炎,威廉征
痰饮,血常规
痰饮,尿常规
痰饮,便常规
败血症,血清免疫球蛋白测定
败血症,异型中性粒细胞
败血症,宿主中介试验
败血症,药敏试验
败血症,碳源利用试验
败血症,凝固酶试验
败血症,七叶苷水解试验
败血症,中间细胞(MID)
败血症,组织因子途径抑制物
败血症,异形嗜中性粒细胞
猝死,心电图
猝死,血液生化六项检查
猝死,脉搏
代谢性酸中毒,尿常规
代谢性酸中毒,大生化检查
代谢性酸中毒,氧分压
代谢性酸中毒,血液电解质检查
代谢性酸中毒,上消化道X线钡餐
代谢性酸中毒,实际碳酸氢根
代谢性酸中毒,缓冲碱(BB)
代谢性酸中毒,碱剩余
代谢性酸中毒,尿酸碱度（pH）
代谢性酸中毒,血浆酮体
体温过低,体温测量
体温过低,胰岛素
失眠,血常规
失眠,CT检查
失眠,心电图
失眠,核磁共振成像(MRI)
失眠,维生素H
心动过缓,心电图
心肌缺血,CT检查
心肌缺血,心电图
心肌缺血,冠状动脉造影
心肌缺血,脏器断层显像
心肌缺血,心血管疾病的超声诊断
动脉粥样硬化,多普勒超声心动图
动脉粥样硬化,冠状动脉造影
动脉粥样硬化,血小板凝集功能试验
动脉粥样硬化,血清脂蛋白-α
动脉粥样硬化,血小板凝集试验（PAgT）
动脉粥样硬化,血栓烷B2
动脉粥样硬化,脂蛋白电泳
动脉粥样硬化,高密度脂蛋白2-胆固醇
动脉粥样硬化,血清铬（Cr）
动脉粥样硬化,64排螺旋CT检查
脑干梗塞,肾功能检查
脑干梗塞,颅脑CT检查
脑干梗塞,脑血管造影
脑干梗塞,凝血酶原时间（PT）
脑干梗塞,颅脑MRI检查
脑干梗塞,Fisher手指试验
脑干梗塞,脑血流灌注断层显像
脑干梗塞,纤维蛋白原测定
静脉曲张,深静脉通畅试验
静脉曲张,交通静脉瓣膜功能试验
静脉曲张,大隐静脉瓣膜功能试验
静脉曲张,普拉特试验
心包积液,胸部平片
心包积液,心电图
心包积液,多普勒超声心动图
心包积液,脉搏
心包积液,颈静脉回流试验
心包积液,心包积液检查
心绞痛,心电图
心绞痛,冠状动脉造影
心绞痛,动态血压监测(ABPM)
心绞痛,血浆组织纤溶酶原活化物抗原检测
心绞痛,血小板凝集功能试验
心绞痛,肌红蛋白
心绞痛,磷酸肌酸激酶
心绞痛,血浆组织纤溶酶原活化物活性检测
心绞痛,饱餐试验
心绞痛,Rerth试验
精神障碍,尿常规
精神障碍,心电图
精神障碍,颅脑CT检查
动脉导管未闭,胸部平片
动脉导管未闭,心电图
动脉导管未闭,血氧含量
动脉导管未闭,二维超声心动图
神经性呕吐,血常规
神经性呕吐,胸部平片
神经性呕吐,胃肠道疾病的超声检查
神经性呕吐,胃肠道功能动力学检查
上睑下垂,眼球和眼眶的超声检查
上睑下垂,眼球及眼眶检查法
眼球内陷,眼及眶区CT检查
眼球内陷,眼球和眼眶的超声检查
共济失调,肌电图
共济失调,造影检查
共济失调,颅脑CT检查
共济失调,颅脑MRI检查
共济失调,电测听
共济失调,前庭功能检查
共济失调,足拍打试验
共济失调,人体重心平衡仪
心肌梗死,血常规
心肌梗死,心电图
心肌梗死,凝血时间
心肌梗死,肌红蛋白
心肌梗死,血清乳酸脱氢酶（LDH）
心肌梗死,红细胞电泳时间测定
心肌梗死,红细胞电泳时间
心肌梗死,α-羟丁酸脱氢酶
心肌梗死,瑞斯托霉素诱导血小板聚集测定
三尖瓣狭窄,心电图
三尖瓣狭窄,多普勒超声心动图
三尖瓣狭窄,脉搏
三尖瓣狭窄,腹颈静脉回流试验
三尖瓣狭窄,肝-颈静脉返流征
硬肿症,血常规
硬肿症,心电图
硬肿症,凝血酶时间
色素斑,血常规
色素斑,尿常规
色素斑,便常规
色素斑,皮肤颜色
色素斑,皮肤涂片显微镜检查
耳聋,耳鼻咽喉CT检查
耳聋,前庭功能检查
耳聋,耳蜗电图
耳聋,听力检查
耳聋,音叉检查
耳聋,施瓦巴赫试验
耳聋,镫骨活动试验
耳聋,林纳试验
肌肉萎缩,神经系统检查
肌肉萎缩,肌电图
肌肉萎缩,脑诱发电位
肌肉萎缩,视觉诱发电位
肌肉萎缩,呼吸肌张力的测定
下颌后缩,口腔内窥镜
下颌后缩,口腔X光片检查
胎盘早剥,血常规
胎盘早剥,尿常规
胎盘早剥,凝血时间
胎盘早剥,胎心监护
产后出血,心电图
产后出血,血清乳酸脱氢酶
产后出血,凝血时间
产后出血,多染性红细胞
产后出血,铁染色
便秘,便常规
便秘,腹部平片
便秘,肠镜
便秘,直肠指检
妊高征,心电图
妊高征,血液检查
妊高征,血液电解质检查
妊高征,眼底检查
妊高征,凝血酶原时间（PT）
妊高征,尿蛋白质
妊高征,产科B超
妊高征,胎心监护
妊高征,尿比重（SG）
妊高征,活化部分凝血活酶时间（APTT）
菌血症,血常规
菌血症,脉搏
菌血症,血液及骨髓细菌培养
血胸,红细胞计数(RBC)
热衰竭,心电图
热痉挛,神经系统检查
热痉挛,心电图
热痉挛,脉搏
热痉挛,呼吸运动检查
腹水,CT检查
腹水,心电图
腹水,涂片
腹水,腹腔穿刺
腹水,肿瘤标志物检测
腹水,尺压试验
便血,便常规
便血,直肠指检
便血,乙状结肠镜检查
便血,血尿素
低血糖症,血液生化六项检查
低血糖症,腹部CT
低血糖症,胰岛素
低血糖症,胰腺疾病超声诊断
低血糖症,胰腺的CT检查
低血糖症,葡萄糖氧化酶生化分析仪法
低血糖症,C-肽
半乳糖血症,α-D-半乳糖-1-磷酸转尿苷酰酶
半乳糖血症,直接胆红素
半乳糖血症,尿半乳糖
半乳糖血症,尿戊糖
半乳糖血症,尿乳糖
β-氨基酸尿,尿液镜检法
β-氨基酸尿,肠镜
呃逆,胸部平片
呃逆,肾功能检查
呃逆,颅脑CT检查
呃逆,腹部CT
呃逆,腹部平片
呃逆,上消化道X线钡餐
呃逆,胃镜
呃逆,十二指肠胃反流测定和显像
呃逆,颅脑MRI检查
痢疾,钼靶X线检查
