aname,bname
消化性溃疡,消化内科
肾功能衰竭,疾病百科
肾功能衰竭,内科
肾功能衰竭,肾内科
偏头痛,疾病百科
偏头痛,内科
偏头痛,神经内科
蜘蛛痣,疾病百科
蜘蛛痣,内科
蜘蛛痣,消化内科
肝纤维化,疾病百科
肝纤维化,肝病
结肠息肉,疾病百科
结肠息肉,内科
结肠息肉,消化内科
智能障碍,疾病百科
智能障碍,内科
智能障碍,神经内科
肝肾综合征,疾病百科
肝肾综合征,其他科室
肝肾综合征,康复科
肛裂,疾病百科
肛裂,外科
肛裂,肛肠科
结肠粪性穿孔,疾病百科
结肠粪性穿孔,外科
结肠粪性穿孔,肛肠科
视神经萎缩,疾病百科
视神经萎缩,五官科
视神经萎缩,眼科
肠粘连,疾病百科
肠粘连,内科
肠粘连,消化内科
急性胃扩张,疾病百科
急性胃扩张,内科
急性胃扩张,消化内科
酒精性肝硬化,疾病百科
酒精性肝硬化,肝病
溶血性黄疸,疾病百科
溶血性黄疸,内科
溶血性黄疸,血液科
角膜炎,疾病百科
角膜炎,五官科
角膜炎,眼科
代谢性碱中毒,疾病百科
代谢性碱中毒,急诊科
骨质疏松,疾病百科
骨质疏松,外科
骨质疏松,骨外科
过敏性皮炎,疾病百科
过敏性皮炎,皮肤性病科
过敏性皮炎,皮肤科
剥脱性皮炎,疾病百科
剥脱性皮炎,皮肤性病科
剥脱性皮炎,皮肤科
缺铁性贫血,疾病百科
缺铁性贫血,内科
缺铁性贫血,血液科
脱发,疾病百科
脱发,皮肤性病科
脱发,皮肤科
隐睾,疾病百科
隐睾,男科
巨舌,疾病百科
巨舌,五官科
巨舌,口腔科
口炎,疾病百科
口炎,五官科
口炎,口腔科
肺不张,疾病百科
肺不张,内科
肺不张,呼吸内科
球后视神经炎,疾病百科
球后视神经炎,五官科
球后视神经炎,眼科
肠系膜囊肿,疾病百科
肠系膜囊肿,外科
肠系膜囊肿,普外科
胆汁性肝硬化,疾病百科
胆汁性肝硬化,内科
胆汁性肝硬化,消化内科
小肠损伤,疾病百科
小肠损伤,外科
小肠损伤,普外科
眼球震颤,疾病百科
眼球震颤,五官科
眼球震颤,眼科
脑积水,疾病百科
脑积水,外科
脑积水,神经外科
肠道血管畸形,疾病百科
肠道血管畸形,内科
肠道血管畸形,消化内科
鼻出血,疾病百科
鼻出血,五官科
鼻出血,耳鼻喉科
流产,疾病百科
流产,妇产科
流产,产科
闭经,疾病百科
闭经,妇产科
闭经,妇科
瘫痪,疾病百科
瘫痪,内科
瘫痪,神经内科
颅内出血,疾病百科
颅内出血,外科
颅内出血,神经外科
直肠重复畸形,疾病百科
直肠重复畸形,外科
直肠重复畸形,肛肠科
血脂异常,疾病百科
血脂异常,内科
血脂异常,内分泌科
甲状旁腺功能亢进,疾病百科
甲状旁腺功能亢进,内科
甲状旁腺功能亢进,内分泌科
低钾血症,疾病百科
低钾血症,急诊科
低钠血症,疾病百科
低钠血症,内科
低钠血症,消化内科
遗尿,疾病百科
遗尿,外科
遗尿,泌尿外科
小儿遗尿,疾病百科
小儿遗尿,儿科
小儿遗尿,儿科综合
肾病综合征,疾病百科
肾病综合征,内科
肾病综合征,肾内科
肾结石,疾病百科
肾结石,外科
肾结石,泌尿外科
口腔溃疡,疾病百科
口腔溃疡,五官科
口腔溃疡,口腔科
前列腺增生,疾病百科
前列腺增生,外科
前列腺增生,泌尿外科
尿失禁,疾病百科
尿失禁,内科
尿失禁,肾内科
尿潴留,疾病百科
尿潴留,外科
尿潴留,泌尿外科
慢性肾功能不全,疾病百科
慢性肾功能不全,内科
慢性肾功能不全,肾内科
膀胱结核,疾病百科
膀胱结核,外科
膀胱结核,泌尿外科
继发性高血压,疾病百科
继发性高血压,内科
继发性高血压,心内科
肾脓肿,疾病百科
肾脓肿,内科
肾脓肿,肾内科
低钙血症,疾病百科
低钙血症,内科
低钙血症,血液科
痴呆,疾病百科
痴呆,内科
痴呆,神经内科
烟酸缺乏,疾病百科
烟酸缺乏,内科
烟酸缺乏,内分泌科
睡眠障碍,疾病百科
睡眠障碍,精神科
脑脓肿,疾病百科
脑脓肿,内科
脑脓肿,神经内科
脑膜炎,疾病百科
脑膜炎,内科
脑膜炎,神经内科
植物神经功能障碍,疾病百科
植物神经功能障碍,精神科
肝豆状核变性,疾病百科
肝豆状核变性,内科
肝豆状核变性,神经内科
眼球突出,疾病百科
眼球突出,五官科
眼球突出,眼科
截瘫,疾病百科
截瘫,内科
截瘫,神经内科
脊髓梗死,疾病百科
脊髓梗死,内科
脊髓梗死,神经内科
乳突炎,疾病百科
乳突炎,五官科
乳突炎,耳鼻喉科
扭转痉挛,疾病百科
扭转痉挛,外科
扭转痉挛,神经外科
血管痣,疾病百科
血管痣,皮肤性病科
血管痣,皮肤科
面肌抽搐,疾病百科
面肌抽搐,外科
面肌抽搐,神经外科
婴儿痉挛症,疾病百科
婴儿痉挛症,儿科
婴儿痉挛症,小儿内科
运动性闭经,疾病百科
运动性闭经,妇产科
运动性闭经,妇科
痛经,疾病百科
痛经,妇产科
痛经,妇科
夜惊,疾病百科
夜惊,精神科
病理性REM睡眠,疾病百科
病理性REM睡眠,内科
病理性REM睡眠,神经内科
梦游症,疾病百科
梦游症,精神科
磨牙,疾病百科
磨牙,五官科
磨牙,口腔科
多汗症,疾病百科
多汗症,皮肤性病科
多汗症,皮肤科
肾上腺危象,疾病百科
肾上腺危象,内科
肾上腺危象,内分泌科
乳头皲裂,疾病百科
乳头皲裂,外科
乳头皲裂,普外科
角膜溃疡,疾病百科
角膜溃疡,五官科
角膜溃疡,眼科
雀斑,疾病百科
雀斑,皮肤性病科
雀斑,皮肤科
乳房疼痛,疾病百科
乳房疼痛,妇产科
乳房疼痛,妇科
乳头溢液,疾病百科
乳头溢液,妇产科
乳头溢液,妇科
乳房肿块,疾病百科
乳房肿块,妇产科
乳房肿块,妇科
乳头内陷,疾病百科
乳头内陷,外科
乳头内陷,普外科
库欣综合征,疾病百科
库欣综合征,内科
库欣综合征,内分泌科
溶血性贫血,疾病百科
溶血性贫血,内科
溶血性贫血,血液科
涎瘘,疾病百科
涎瘘,五官科
涎瘘,口腔科
男性性早熟,疾病百科
男性性早熟,内科
男性性早熟,内分泌科
露阴癖,疾病百科
露阴癖,心理科
异性装扮癖,疾病百科
异性装扮癖,心理科
脾大,疾病百科
脾大,内科
脾大,消化内科
低镁血症,疾病百科
低镁血症,营养科
心脏淤积淀粉样物质,疾病百科
心脏淤积淀粉样物质,内科
心脏淤积淀粉样物质,心内科
呼吸性酸中毒,疾病百科
呼吸性酸中毒,内科
呼吸性酸中毒,呼吸内科
末梢神经炎,疾病百科
末梢神经炎,内科
末梢神经炎,神经内科
湿疹,疾病百科
湿疹,皮肤性病科
湿疹,皮肤科
脾功能亢进,疾病百科
脾功能亢进,内科
脾功能亢进,消化内科
营养不良,疾病百科
营养不良,营养科
血瘀体质,疾病百科
血瘀体质,内科
血瘀体质,血液科
贫血,疾病百科
贫血,内科
贫血,血液科
膝内翻,疾病百科
膝内翻,外科
膝内翻,骨外科
网状青斑,疾病百科
网状青斑,皮肤性病科
网状青斑,皮肤科
冻疮,疾病百科
冻疮,皮肤性病科
冻疮,皮肤科
甲营养不良,疾病百科
甲营养不良,皮肤性病科
甲营养不良,皮肤科
坐骨神经痛,疾病百科
坐骨神经痛,内科
坐骨神经痛,神经内科
坏死性筋膜炎,疾病百科
坏死性筋膜炎,外科
坏死性筋膜炎,骨外科
肋间神经痛,疾病百科
肋间神经痛,中医科
肋间神经痛,中医综合
类风湿关节炎,疾病百科
类风湿关节炎,内科
类风湿关节炎,风湿免疫科
药疹,疾病百科
药疹,皮肤性病科
药疹,皮肤科
胸廓畸形,疾病百科
胸廓畸形,外科
胸廓畸形,心胸外科
传导性腹痛,疾病百科
传导性腹痛,内科
传导性腹痛,消化内科
脊柱侧弯,疾病百科
脊柱侧弯,外科
脊柱侧弯,骨外科
缩窄性心包炎,疾病百科
缩窄性心包炎,外科
缩窄性心包炎,心胸外科
